RecordTime,ÑÓ³Ù´ÎÊý(´Î),extra,SimpleTime
1669278070827,0.0,sg.partying.android.lite,387.351
1669278071828,4.0,sg.partying.android.lite,388.352
1669278072829,0.0,sg.partying.android.lite,389.353
1669278073829,0.0,sg.partying.android.lite,390.353
1669278074831,0.0,sg.partying.android.lite,391.355
1669278075832,0.0,sg.partying.android.lite,392.356
1669278076834,0.0,sg.partying.android.lite,393.358
1669278077832,2.0,sg.partying.android.lite,394.356
1669278078834,0.0,sg.partying.android.lite,395.358
1669278079834,3.0,sg.partying.android.lite,396.358
1669278080837,0.0,sg.partying.android.lite,397.361
1669278081838,5.0,sg.partying.android.lite,398.362
1669278082839,0.0,sg.partying.android.lite,399.363
1669278083840,5.0,sg.partying.android.lite,400.364
1669278084839,0.0,sg.partying.android.lite,401.363
1669278085840,4.0,sg.partying.android.lite,402.364
1669278086841,0.0,sg.partying.android.lite,403.365
1669278087841,0.0,sg.partying.android.lite,404.365
1669278088843,0.0,sg.partying.android.lite,405.367
1669278089842,0.0,sg.partying.android.lite,406.366
1669278090843,0.0,sg.partying.android.lite,407.367
1669278091843,0.0,sg.partying.android.lite,408.367
1669278092845,0.0,sg.partying.android.lite,409.369
1669278093845,1.0,sg.partying.android.lite,410.369
1669278094846,1.0,sg.partying.android.lite,411.37
1669278095847,0.0,sg.partying.android.lite,412.371
1669278096846,0.0,sg.partying.android.lite,413.37
1669278097847,0.0,sg.partying.android.lite,414.371
1669278098849,3.0,sg.partying.android.lite,415.373
1669278099849,0.0,sg.partying.android.lite,416.373
1669278100849,1.0,sg.partying.android.lite,417.373
1669278101851,3.0,sg.partying.android.lite,418.375
1669278102850,3.0,sg.partying.android.lite,419.374
1669278103851,1.0,sg.partying.android.lite,420.375
1669278104855,1.0,sg.partying.android.lite,421.379
1669278105853,0.0,sg.partying.android.lite,422.377
1669278106854,0.0,sg.partying.android.lite,423.378
1669278107854,0.0,sg.partying.android.lite,424.378
1669278108855,0.0,sg.partying.android.lite,425.379
1669278109858,0.0,sg.partying.android.lite,426.382
1669278110862,2.0,sg.partying.android.lite,427.386
1669278111859,0.0,sg.partying.android.lite,428.383
