RecordTime,PSS-main-6006(MB),extra,SimpleTime
1669202792931,389.3379,,3695.744
1669202793844,389.30078,,3696.657
1669202794824,406.40527,,3697.637
1669202795559,435.14062,,3698.372
1669202796650,389.88477,,3699.463
1669202797699,387.63184,,3700.512
1669202798707,385.49512,,3701.52
1669202799873,387.67773,,3702.686
1669202800827,387.72852,,3703.64
1669202801805,387.7246,,3704.618
1669202802636,389.6582,,3705.449
1669202803676,389.63672,,3706.489
1669202804880,387.67578,,3707.693
1669202805773,389.8379,,3708.586
1669202806679,389.57324,,3709.492
1669202808248,389.68652,,3711.061
1669202808944,387.83496,,3711.757
1669202809956,387.73633,,3712.769
1669202810704,387.7793,,3713.517
1669202811900,387.7168,,3714.713
1669202812703,389.6045,,3715.516
1669202814215,387.78418,,3717.028
1669202815282,389.9248,,3718.095
1669202816846,387.57715,,3719.659
1669202818177,387.72852,,3720.99
1669202819286,387.62402,,3722.099
1669202821137,387.77246,,3723.95
1669202822553,389.50098,,3725.366
1669202823291,389.5293,,3726.104
1669202824082,387.91797,,3726.895
1669202825185,389.32422,,3727.998
1669202826143,389.51172,,3728.956
1669202827463,387.58203,,3730.276
1669202828832,389.35742,,3731.645
1669202829779,403.56348,,3732.592
1669202831156,408.9043,,3733.969
1669202832171,418.29492,,3734.984
1669202833135,401.20312,,3735.948
1669202834441,407.19238,,3737.254
1669202835173,407.8916,,3737.986
1669202836140,408.14844,,3738.953
1669202837165,408.60742,,3739.978
1669202838219,409.5869,,3741.032
1669202839261,409.61328,,3742.074
1669202840183,409.78516,,3742.996
1669202841235,405.71484,,3744.048
1669202842208,406.23535,,3745.021
1669202843211,406.48242,,3746.024
1669202844280,406.1455,,3747.093
1669202845161,407.0166,,3747.974
1669202846197,407.458,,3749.01
1669202847192,407.91504,,3750.005
1669202848262,408.34863,,3751.075
1669202849492,408.33594,,3752.305
1669202855199,406.55566,,3758.012
1669202856461,406.82227,,3759.274
1669202857185,407.36914,,3759.998
1669202858174,407.92383,,3760.987
1669202859398,407.78906,,3762.211
1669202860213,408.7666,,3763.026
1669202861201,409.17188,,3764.014
1669202862221,403.2002,,3765.034
1669202863221,403.61328,,3766.034
1669202864240,403.74023,,3767.053
1669202865220,404.6797,,3768.033
1669202866219,405.0166,,3769.032
1669202867306,405.58594,,3770.119
1669202868796,406.18848,,3771.609
1669202869675,406.97754,,3772.488
1669202870635,407.47363,,3773.448
1669202871712,407.90332,,3774.525
1669202872663,408.3955,,3775.476
1669202873701,408.6875,,3776.514
1669202874685,409.47363,,3777.498
1669202875674,409.8916,,3778.487
1669202876854,410.40234,,3779.667
1669202877890,410.91992,,3780.703
1669202878834,411.4297,,3781.647
1669202879824,412.11914,,3782.637
1669202880820,412.68066,,3783.633
1669202882214,403.7334,,3785.027
1669202883254,404.18848,,3786.067
1669202884288,404.30566,,3787.101
1669202885216,405.23926,,3788.029
1669202886241,405.70312,,3789.054
1669202887230,406.25098,,3790.043
1669202888322,407.0039,,3791.135
1669202889343,407.1416,,3792.156
1669202890233,408.11426,,3793.046
1669202891242,408.54395,,3794.055
1669202892327,409.03906,,3795.14
1669202893217,409.54297,,3796.03
1669202894392,409.72363,,3797.205
1669202895218,410.55078,,3798.031
